"word"	"Positive"	"Negative"	"Anger"	"Anticipation"	"Disgust"	"Fear"	"Joy"	"Sadness"	"Surprise"	"Trust"
"osupel"	0	0	0	0	0	0	0	0	0	0
"abak"	0	0	0	0	0	0	0	0	0	1
"opustiti"	0	1	0	0	0	1	0	1	0	0
"zapustiti"	0	1	0	0	0	1	0	1	0	0
"prekiniti"	0	1	0	0	0	1	0	1	0	0
"prenehati"	0	1	0	0	0	1	0	1	0	0
"opuščen"	0	1	1	0	0	1	0	1	0	0
"zapuščen"	0	1	1	0	0	1	0	1	0	0
"prekinjen"	0	1	1	0	0	1	0	1	0	0
"zavržen"	0	1	1	0	0	1	0	1	0	0
"opustitev"	0	1	1	0	0	1	0	1	1	0
"zapustitev"	0	1	1	0	0	1	0	1	1	0
"popustiti"	0	0	0	0	0	0	0	0	0	0
"popuščanje"	0	0	0	0	0	0	0	0	0	0
"Abba"	1	0	0	0	0	0	0	0	0	0
"opat"	0	0	0	0	0	0	0	0	0	1
"okrajšati"	0	0	0	0	0	0	0	0	0	0
"okrajšava"	0	0	0	0	0	0	0	0	0	0
"trebuh"	0	0	0	0	0	0	0	0	0	0
"trebušen"	0	0	0	0	0	0	0	0	0	0
"ugrabitev"	0	1	0	0	0	1	0	1	1	0
"napačen"	0	1	0	0	0	0	0	0	0	0
"aberacija"	0	1	0	0	1	0	0	0	0	0
"odstopanje"	0	1	0	0	1	0	0	0	0	0
"odlog"	0	0	0	0	0	0	0	0	0	0
"prezirati"	0	1	1	0	1	1	0	0	0	0
"zoprn"	0	1	1	0	1	1	0	0	0	0
"gnusen"	0	1	1	0	1	1	0	0	0	0
"prenesti"	0	0	0	0	0	0	0	0	0	0
"sposobnost"	1	0	0	0	0	0	0	0	0	0
"zmožnost"	1	0	0	0	0	0	0	0	0	0
"beden"	0	1	0	0	1	0	0	0	0	0
"obupen"	0	1	0	0	1	0	0	0	0	0
"ponižen"	0	1	0	0	1	0	0	0	0	0
"ablacija"	0	0	0	0	0	0	0	0	0	0
"odstranitev"	0	0	0	0	0	0	0	0	0	0
"goreti"	0	0	0	0	0	0	0	0	0	0
"nenormalen"	0	1	0	0	1	0	0	0	0	0
"neobičajen"	0	1	0	0	1	0	0	0	0	0
"nenavaden"	0	1	0	0	1	0	0	0	0	0
"na krovu"	0	0	0	0	0	0	0	0	0	0
"prebivališče"	0	0	0	0	0	0	0	0	0	0
"dom"	0	0	0	0	0	0	0	0	0	0
"ukiniti"	0	1	1	0	0	0	0	0	0	0
"odpraviti"	0	1	1	0	0	0	0	0	0	0
"razveljaviti"	0	1	1	0	0	0	0	0	0	0
"ukinitev"	0	1	0	0	0	0	0	0	0	0
"razveljavitev"	0	1	0	0	0	0	0	0	0	0
"gnusen"	0	1	0	0	1	1	0	0	0	0
"odvraten"	0	1	0	0	1	1	0	0	0	0
"grozen"	0	1	0	0	1	1	0	0	0	0
"gnusoba"	0	1	1	0	1	1	0	0	0	0
"ogabnost"	0	1	1	0	1	1	0	0	0	0
"gamad"	0	1	1	0	1	1	0	0	0	0
"golazen"	0	1	1	0	1	1	0	0	0	0
"gamat"	0	1	1	0	1	1	0	0	0	0
"aboridžinski"	0	0	0	0	0	0	0	0	0	0
"staroselski"	0	0	0	0	0	0	0	0	0	0
"prekiniti"	0	1	0	0	0	0	0	0	0	0
"splaviti"	0	1	0	0	0	0	0	0	0	0
"splav"	0	1	0	0	1	1	0	1	0	0
"izrodek"	0	1	0	0	1	1	0	1	0	0
"neuspešen"	0	1	0	0	0	0	0	1	0	0
"spodletel"	0	1	0	0	0	0	0	1	0	0
"ponesrečen"	0	1	0	0	0	0	0	1	0	0
"obilen"	0	0	0	0	0	0	0	0	0	0
"zgoraj omenjen"	1	0	0	0	0	0	0	0	0	0
"odrgnina"	0	1	0	0	0	0	0	0	0	0
"praska"	0	1	0	0	0	0	0	0	0	0
"v tujini"	0	0	0	0	0	0	0	0	0	0
"odpraviti"	0	1	0	0	0	0	0	0	0	0
"razveljaviti"	0	1	0	0	0	0	0	0	0	0
"ukiniti"	0	1	0	0	0	0	0	0	0	0
"opustiti"	0	1	0	0	0	0	0	0	0	0
"nenaden"	0	0	0	0	0	0	0	0	1	0
"nenadno"	0	0	0	0	0	0	0	0	0	0
"absces"	0	1	0	0	0	0	0	1	0	0
