id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugzb5w7LUItzghdIxPJ4AaABAg,0,0,"2022-12-15 20:32:35","sober boy","Slovenija je od Janeza janše in je njen ati. Pa pika",UC6OefR1qW8QaQZeRt608U3A,http://www.youtube.com/channel/UC6OefR1qW8QaQZeRt608U3A,0,,
UgznaH5AxHLiluCJApF4AaABAg,0,1,"2022-10-29 13:52:19","mladen filak","Ja že zelo dolgo je od tega.Zelo ,profesionalno, od novinarke Pa saj ni novinarka je pač še vedno družbeno politična delavka.Žalostno pa je da je nekateri sploh imenujete ,novinarka.",UCq4c3iUPTdhI-MQ1M__Hh1Q,http://www.youtube.com/channel/UCq4c3iUPTdhI-MQ1M__Hh1Q,0,,
UgzPxRh1byhGQy2SwNR4AaABAg,0,0,"2022-10-15 15:43:12","Daniel Zaveljcina","Zamenjaj poklic, pa se ne bo treba... svojo nevtralnost pri obsodbah kogarkoli pa preberi v Kodeksu novinarjev RS in ZJRTV.",UC_HAc1SDwqxGktbcGMQ62zg,http://www.youtube.com/channel/UC_HAc1SDwqxGktbcGMQ62zg,0,,
UgzDWGzi3Yidgl5Vkc14AaABAg,0,2,"2022-06-19 11:01:47","Lj Slo","RTV SLO 👍🙌",UCOh3_-et5ev-Ab9Qr6MILfA,http://www.youtube.com/channel/UCOh3_-et5ev-Ab9Qr6MILfA,0,,
Ugz1pWdj_9cBselPweV4AaABAg,0,2,"2022-06-17 14:59:08","SLO Info","Janez je predober zanjo. Saj je vse povedal črno na belem. Ženska pa ni dojela. Pa novinarji bi morali biti objektivni, ne pa da nekoga pošiljajo nekam.",UCHmqFdNxKUJYEzu9XhLAhBw,http://www.youtube.com/channel/UCHmqFdNxKUJYEzu9XhLAhBw,0,,
UgxvC9nmDMbQ4U37tT94AaABAg,0,1,"2022-06-17 10:54:31","Janez Konic","Jansa jepostavil dojenckaza abrambnega ministra abrambnega ministra. Nak ga posljev ukrajino.",UCk4qiuxvlmDNzy4DM4IdHew,http://www.youtube.com/channel/UCk4qiuxvlmDNzy4DM4IdHew,0,,
UgwVhS1K0WfvsDTIb694AaABAg,0,2,"2022-06-13 12:00:43","S OS","končno ena prava babura za gargamela",UCEl37p8YoqIAD_-9_-9L8Kg,http://www.youtube.com/channel/UCEl37p8YoqIAD_-9_-9L8Kg,0,,
UgwzKABrENXXCbbzH-t4AaABAg,0,0,"2022-06-08 04:39:27","Slavko Osolin","Bistvo VV JANEZ JANŠA in njegova retorika, ❤️",UCZoJxnYSZ-PZggX8U4nm02Q,http://www.youtube.com/channel/UCZoJxnYSZ-PZggX8U4nm02Q,0,,
UgwVUXJD1uvt2vUdXJN4AaABAg,0,0,"2022-06-06 18:46:55","matjaz mazi","KRIVOSODJE - Janša je to mojo ( !! ) besedno skovanko (iz)koristil izključno za svojo korist. USI politiki v Republiki Zloveniji glih - samo za svije riti !.....",UCaevaTKcH6NljsULeR4UEaA,http://www.youtube.com/channel/UCaevaTKcH6NljsULeR4UEaA,0,,
UgyPpbu55tTP1b3eHvZ4AaABAg,1,2,"2022-05-29 00:59:31","Mad Ness","24. aprila letos se je veliko število slovenskih volivcev prav tako odločilo, da ga imajo dovolj.",UCgIkicQNOAqJ2W_At1HZtAg,http://www.youtube.com/channel/UCgIkicQNOAqJ2W_At1HZtAg,0,,
UgyPpbu55tTP1b3eHvZ4AaABAg.9baMWYoZEiM9bwsH-9U5OV,,0,"2022-06-06 18:49:02","matjaz mazi","Ja. Ampak na žalost so verjetno kar USI ""lepo"" GLIH !...",UCaevaTKcH6NljsULeR4UEaA,http://www.youtube.com/channel/UCaevaTKcH6NljsULeR4UEaA,1,UgyPpbu55tTP1b3eHvZ4AaABAg,"Mad Ness"
Ugx_G4FSnrIxzc3syD94AaABAg,0,9,"2022-05-22 13:39:38",NightBush,"Ta nasmeh na koncu 👌",UCphCzv_y-RPF1kknpY1fC0w,http://www.youtube.com/channel/UCphCzv_y-RPF1kknpY1fC0w,0,,
UgyH1KkzT991rivr_pV4AaABAg,0,0,"2022-05-20 08:53:20","Franc Pukšič","H=z?nozevanje ;[rtenzij",UCYw4VPtk0-o0m_Y2Qdw6JcQ,http://www.youtube.com/channel/UCYw4VPtk0-o0m_Y2Qdw6JcQ,0,,
UgyiT387GV1FXbbVufp4AaABAg,0,2,"2022-05-18 21:45:19","Norina Alićajić","Januša je kot hitler nacista pokvareni",UChtvKy1bXnfah34sn2eulmQ,http://www.youtube.com/channel/UChtvKy1bXnfah34sn2eulmQ,0,,
UgyMpEnEpbUeRVgoyYd4AaABAg,0,2,"2022-05-16 15:09:23","Mario Pfajfar","Ti si za u čuzo in verjem k boš!!!",UC0dLL34kZqXj8nrWcWOOwFA,http://www.youtube.com/channel/UC0dLL34kZqXj8nrWcWOOwFA,0,,
UgzsgMbjyshCqijrzT54AaABAg,0,3,"2022-04-22 12:28:51","Andrej Babic","Tako se govori ker samo laze sam sebi",UCq74UjO7zqqYCRMeMQAHu8w,http://www.youtube.com/channel/UCq74UjO7zqqYCRMeMQAHu8w,0,,
Ugzc1qJ0jCE0YYQUVPt4AaABAg,0,0,"2022-04-18 00:01:26","Jeremías Samuel Zitnik","A velja smrtna kazen v sloveniji še? Wikipedia pravi da ni dovoljena.",UCqj63TC-PXDRcTEfk52uqrg,http://www.youtube.com/channel/UCqj63TC-PXDRcTEfk52uqrg,0,,
UgzLW1uKHs86Q5lzm-t4AaABAg,0,2,"2022-04-15 15:55:40","čarli brown","Svaka cast voditeljki..si mu zasolila i to dobro",UCM9YmbTxxg2UvaNOnYzf6ZQ,http://www.youtube.com/channel/UCM9YmbTxxg2UvaNOnYzf6ZQ,0,,
UgzHXxzaSTavvFU0JYt4AaABAg,0,3,"2022-04-03 12:56:08","Dušan Tasić","Cela Slovenija ne može ovog korumpiranog i pokvarenog J. Janšu očima da vidi još od njegovog &quot; vikend rata &quot; 1991 godine !",UCUFxCGB3ftgU55xn6cMVNPA,http://www.youtube.com/channel/UCUFxCGB3ftgU55xn6cMVNPA,0,,
Ugyj5A2X4fDfCPp_ixN4AaABAg,0,2,"2022-02-27 20:36:19",Vitar,"Janša Diktator!!!",UCucUIixwtpxHgM2DLbKFhDQ,http://www.youtube.com/channel/UCucUIixwtpxHgM2DLbKFhDQ,0,,
UgwwcZVchBMgwd92c0Z4AaABAg,0,0,"2022-02-23 12:08:55",Leon,"Prašiči ki živijo na račun davko plačevalskega denarja.",UCO1n3xeJJkrt8CC6OHy5sOQ,http://www.youtube.com/channel/UCO1n3xeJJkrt8CC6OHy5sOQ,0,,
UgyggeQstDhM322pV6J4AaABAg,2,6,"2022-02-01 20:08:39","Nam Nam","Did you see that smile at the very end? It likes it. (Bi napisal po slovensko, samo iz nekega razloga nisem vedel, kak bi janšo dal v srednji spol, da bi dobro zvenelo.)",UCxtpN41r2LPyhyE336PMNCA,http://www.youtube.com/channel/UCxtpN41r2LPyhyE336PMNCA,0,,
UgyggeQstDhM322pV6J4AaABAg.9Xv90fh5AbI9bwuON014N2,,0,"2022-06-06 19:07:31","matjaz mazi","@Franci Balanci One'. :-)",UCaevaTKcH6NljsULeR4UEaA,http://www.youtube.com/channel/UCaevaTKcH6NljsULeR4UEaA,1,UgyggeQstDhM322pV6J4AaABAg,"Nam Nam"
UgyggeQstDhM322pV6J4AaABAg.9Xv90fh5AbI9bDWTbac2HP,,2,"2022-05-19 18:44:43","Franci Balanci","Ono. Haha",UC-8cBD12sxe_EthZ-_iC0Lg,http://www.youtube.com/channel/UC-8cBD12sxe_EthZ-_iC0Lg,1,UgyggeQstDhM322pV6J4AaABAg,"Nam Nam"
UgxaOBB6EWffXUUYewh4AaABAg,0,2,"2022-01-09 20:02:19","john smith","Janša herooooooooj",UC-HGcP94l9kpu8BSbCh-QSQ,http://www.youtube.com/channel/UC-HGcP94l9kpu8BSbCh-QSQ,0,,
Ugy5O6c8ZjVjHQrtOIB4AaABAg,0,1,"2021-11-23 22:31:57","Ziga Zorin",koza,UCBxc3kQmHP_pgsvoa5W-NAA,http://www.youtube.com/channel/UCBxc3kQmHP_pgsvoa5W-NAA,0,,
UgxsoGadYKa01SuLvXV4AaABAg,0,2,"2021-11-14 20:44:03","Nikola Nastasijevic","Janša največji kriminalec morilec dvajset letnega dekleta.",UCmhHnaj2qJKWL7lJsROLwXQ,http://www.youtube.com/channel/UCmhHnaj2qJKWL7lJsROLwXQ,0,,
UgxHtJa5bQ4OvKj7SZ94AaABAg,0,2,"2021-11-14 20:30:02","Nikola Nastasijevic","Preklet naj bo od boga morilec dvajset letnega dekleta.",UCmhHnaj2qJKWL7lJsROLwXQ,http://www.youtube.com/channel/UCmhHnaj2qJKWL7lJsROLwXQ,0,,
UgwcHk-QKPbYFgaQZwh4AaABAg,0,1,"2021-11-11 14:56:40","Irena Resman","Občudujem Janezovo suverenost, ko se ta živčna špička zaganja vanj. Brezhibno je odreagiral! Težko ga bo podreti na volitvah, pred volitvami pa nemogoče. Ljerka si bo še redčila lase zaradi njega.",UCXnkU2ry2WjFsu4x31lPOLQ,http://www.youtube.com/channel/UCXnkU2ry2WjFsu4x31lPOLQ,0,,
UgzSSIJPSf7jI8_hxI94AaABAg,0,24,"2021-11-09 10:16:47","Zoki Georgievski","Moji dragi Sloveci .Sem potomec Makedoncev ;vedno ste moji.Amen🇲🇰",UCdSK4drTSGnk4n6dNT0f6Xg,http://www.youtube.com/channel/UCdSK4drTSGnk4n6dNT0f6Xg,0,,
UgxM3S4PWGsxeWHysyB4AaABAg,0,4,"2021-11-06 14:29:06","Ante Knežević","Glej kako se smeje supak",UChyScwiqclUqLSKO7lX07Rw,http://www.youtube.com/channel/UChyScwiqclUqLSKO7lX07Rw,0,,
UgytFHkSuSEom0SRW3x4AaABAg,0,1,"2021-10-15 11:46:10","Gašper Slak","Slovenci smo edin narod k pravi demokratom fašisti. Karkoli je tito ustvaru 1945 mu je dobr ratl. Vsi, ki so pa bili sposobni to predvidevat pa ležijo nekje zakopani v luknjah.",UCWNjtR-D-y0vWWtjRUD_QDg,http://www.youtube.com/channel/UCWNjtR-D-y0vWWtjRUD_QDg,0,,
