id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugzf-zCudW6S0gS4f6x4AaABAg,0,0,"2022-12-26 15:05:05","Andrej Čulk","Jaz sem včeraj bla doma...",UC9E__elVrl1hLcNIInSVU6A,http://www.youtube.com/channel/UC9E__elVrl1hLcNIInSVU6A,0,,
UgxRi7rHvrrm6I-Wmzl4AaABAg,0,0,"2022-12-25 20:17:00",systematic_bgst7BG🇺🇦,"Skor lahko cutis razocaranje voditeljucw ki kr raste",UCMYddKjQ3l3FMaUYtSL99eg,http://www.youtube.com/channel/UCMYddKjQ3l3FMaUYtSL99eg,0,,
UgyVSpTVW2FNQK-Bx_p4AaABAg,1,0,"2022-12-25 19:01:57","Headkick Ko","Pravijo, da še dandanes stoji na istem mestu in se vrti v istem začaranem krogu...",UC2CozeWPzoDgP7seNu4DpaQ,http://www.youtube.com/channel/UC2CozeWPzoDgP7seNu4DpaQ,0,,
UgyVSpTVW2FNQK-Bx_p4AaABAg.9k41KG5p2De9k6AxBUP9jv,,0,"2022-12-26 15:04:31","Rok Prijatelj","Ja, kdo pa je ta ženska?",UCXTEdzWnvfFnRMM85P6xf6g,http://www.youtube.com/channel/UCXTEdzWnvfFnRMM85P6xf6g,1,UgyVSpTVW2FNQK-Bx_p4AaABAg,"Headkick Ko"
UgyxfPnjxejbsTrwO6V4AaABAg,0,0,"2022-12-25 14:11:46","Milan Gabrovec","Če smo doma smo doma .Lepe praznike želim pa če tudi niste doma",UCEeZWaAeN_NvVY_dmPYIQNg,http://www.youtube.com/channel/UCEeZWaAeN_NvVY_dmPYIQNg,0,,
UgzMgR9zp4w9lmINLsV4AaABAg,0,0,"2022-12-25 10:56:08","Roko Praznik","2023 še smo doma",UCfohoy2snw2Cz9rC37BOM-w,http://www.youtube.com/channel/UCfohoy2snw2Cz9rC37BOM-w,0,,
UgwXM6bsz6f7fJ4C0LJ4AaABAg,0,0,"2022-12-09 23:35:44","Timotej Trampuž","Mislim da je rekla da so za božič doma",UCCfxODC_ykVHJ0grHVwatJw,http://www.youtube.com/channel/UCCfxODC_ykVHJ0grHVwatJw,0,,
Ugy4Zuz7V0Ku3pfCJPl4AaABAg,0,1,"2022-12-04 14:57:56","intros 3","Če daš hitrost videa na 0,5 je še boljše:)",UCcPPGJtIF4-FktSR_u_Pj9w,http://www.youtube.com/channel/UCcPPGJtIF4-FktSR_u_Pj9w,0,,
Ugxi2RC8OASPjnzk23Z4AaABAg,0,5,"2022-11-25 17:20:44",slomuzika,"Kdo je tukaj leta 2022 zaradi Marka Žerjala? 😉",UCIr3-X5NK2aN978wo0guvgg,http://www.youtube.com/channel/UCIr3-X5NK2aN978wo0guvgg,0,,
UgxAoNYqgi_bbreJgYB4AaABAg,0,2,"2022-08-10 08:59:56",Styx,"če ji ne bi odmaknila mikrofona, bi še kar naprej žagala",UCARRRLjQSDA3fDfQ9wTrWrA,http://www.youtube.com/channel/UCARRRLjQSDA3fDfQ9wTrWrA,0,,
UgxSS7jriVeauINUaN54AaABAg,0,0,"2022-03-18 13:35:13","Mai Pak","Mislim da je rekla da so doma za božic",UCVO2-VmD3yehDjLryzWIFzw,http://www.youtube.com/channel/UCVO2-VmD3yehDjLryzWIFzw,0,,
UgwEUg63VZd6yAYMyoR4AaABAg,0,1,"2022-01-17 18:38:22","Aleks Zorič","Tut jst božič preživim v družinskem krogu.",UCpDCyBV7fwDde9UguZRv6XA,http://www.youtube.com/channel/UCpDCyBV7fwDde9UguZRv6XA,0,,
UgwiGBvhXVv1u4ZGByV4AaABAg,0,0,"2022-01-07 21:00:25","t z",lmao,UCmTFAQ6yMu-C4gg8v2KO0PA,http://www.youtube.com/channel/UCmTFAQ6yMu-C4gg8v2KO0PA,0,,
UgxrJ8WxzLMky4Eyjnl4AaABAg,0,0,"2021-12-25 11:39:57","Gal Zavrl","Kje ste pa vi za božič?",UCxhfxAkVoPDYq_7X4f_0dbw,http://www.youtube.com/channel/UCxhfxAkVoPDYq_7X4f_0dbw,0,,
UgxE-VfYV0pjrDr6Sfd4AaABAg,1,0,"2021-12-25 11:04:21",fuckTheSystem,"Intelekt slovenskih klerofašističnih in pedofilskih ovčic.",UC4lk6OMhzHT_mo8fuGj3tWA,http://www.youtube.com/channel/UC4lk6OMhzHT_mo8fuGj3tWA,0,,
UgxE-VfYV0pjrDr6Sfd4AaABAg.9WNKWw9u72Q9_b6gMXwDnc,,1,"2022-04-09 14:57:38",GP,"Pankrt To je pred pravoslavno cerkevijo v Ljubljani snemano. Tvoji kolegi!",UCS13VtScTa_KYppeG6nJvoA,http://www.youtube.com/channel/UCS13VtScTa_KYppeG6nJvoA,1,UgxE-VfYV0pjrDr6Sfd4AaABAg,fuckTheSystem
UgySsoYM1geXayNcJ-R4AaABAg,0,0,"2021-12-25 08:56:19",Spinelko,"vglavnem doma so :D",UCBaQEmuoHCX1n4pwbqt7mXA,http://www.youtube.com/channel/UCBaQEmuoHCX1n4pwbqt7mXA,0,,
Ugy-vAsbnJ4HSSICFst4AaABAg,0,1,"2021-12-24 22:57:07","Mr. Sneaky","Kdo je za božič doma?",UCdyA-oSqHBV6MEPhcQGTnEA,http://www.youtube.com/channel/UCdyA-oSqHBV6MEPhcQGTnEA,0,,
UgxkOO2RP_HA_8oQ3CR4AaABAg,0,3,"2021-12-24 18:56:15",MrLossFTW,"Vglavnem Ste Doma",UCcrqaWQ1fvd1EYSLdZom6JQ,http://www.youtube.com/channel/UCcrqaWQ1fvd1EYSLdZom6JQ,0,,
Ugwc9FySy-89xH11hhp4AaABAg,0,0,"2021-12-24 18:50:04","David Šmigoc","Kaj pa letos ste doma?",UC2RwGFyrDvwf-jXzrT2zsXA,http://www.youtube.com/channel/UC2RwGFyrDvwf-jXzrT2zsXA,0,,
UgxDb1smnHYYcP_u7EF4AaABAg,0,1,"2021-12-24 17:27:41",EpicEnej,"letos bomo ponovno tudi doma",UCS7f4B9Z3AZ_u3PDEPGkmHw,http://www.youtube.com/channel/UCS7f4B9Z3AZ_u3PDEPGkmHw,0,,
UgxRgrkbz_n_X6P1GCh4AaABAg,0,4,"2021-12-24 15:48:00","Mitja Na.dve.z.nik___","Tut letos smo doma 😁",UCv5AqeqLyjatv2lY1drmtpw,http://www.youtube.com/channel/UCv5AqeqLyjatv2lY1drmtpw,0,,
Ugw7cm0KD5xbBt98JH94AaABAg,0,0,"2021-12-23 03:07:10","haraga 1900","Res smo in bomo vsi doma",UCw3R521d4u-PPEp5urtfbMA,http://www.youtube.com/channel/UCw3R521d4u-PPEp5urtfbMA,0,,
UgwSvKqMmk7mOg_lX2p4AaABAg,0,0,"2021-12-21 17:47:56","peace go","Pripravana koronske čase",UCbmhLJBTAhAEDkSC5Zyl7Mg,http://www.youtube.com/channel/UCbmhLJBTAhAEDkSC5Zyl7Mg,0,,
UgyP3tF3suUi0ZOn0VZ4AaABAg,0,1,"2021-12-16 22:13:54","kalopsia asteria","Bravo, bolj ku se stara bujsi je 🤣 zdej je korona poskrbela da smo res vsi doma za bozic pounoucnico, nou let itd 😂",UCC2jPBz9xEe3IZq-lEjQdBQ,http://www.youtube.com/channel/UCC2jPBz9xEe3IZq-lEjQdBQ,0,,
UgzGmvdvkyhpDUgoQ2B4AaABAg,0,0,"2021-12-08 20:38:21","The top G",😂,UCE0a0MOtQkalG2lbGnf7kfw,http://www.youtube.com/channel/UCE0a0MOtQkalG2lbGnf7kfw,0,,
UgzhT0zhuRTdFHOSW6x4AaABAg,0,0,"2021-12-03 19:46:36",MrVasja46,"Maske je pa gospa Beovičeva pojedla!?",UCB4Q6gDDwTZwlAdHrcd65Ag,http://www.youtube.com/channel/UCB4Q6gDDwTZwlAdHrcd65Ag,0,,
Ugzu3sjdnshQKByqAqF4AaABAg,0,0,"2021-11-11 11:58:46","Žiga Deisinger","Kje boste pa vi letos za božič?",UC0UZT5lCmrDVrkoTkrn_Jqw,http://www.youtube.com/channel/UC0UZT5lCmrDVrkoTkrn_Jqw,0,,
UgwUCMSgF7iV-L-NkhF4AaABAg,0,0,"2021-07-26 18:15:57","draz games","js se čist strinjam",UCk64xoytWeSOxsvVSJDnbZA,http://www.youtube.com/channel/UCk64xoytWeSOxsvVSJDnbZA,0,,
UgzmUgV2yn3GBagSYyR4AaABAg,0,4,"2021-03-28 18:13:05","Cunga Lunga","Kr skoz smo doma 🙂",UC-8vB0dEcJV0b0-KNWh9isA,http://www.youtube.com/channel/UC-8vB0dEcJV0b0-KNWh9isA,0,,
UgyshyTJK6i8-yPSztx4AaABAg,0,1,"2021-01-25 11:01:02",Slowekistan,"tfw no stay-at-home autistic gf 💖",UCMJHGW56DEXh0LblkDNIBwg,http://www.youtube.com/channel/UCMJHGW56DEXh0LblkDNIBwg,0,,
Ugw-KbEkg9hV2ui6R814AaABAg,0,2,"2021-01-15 12:14:17","Sanela Albreht","Pomoje se je kr usrala ko je vidla kamero pa mikrofon",UCWOVqXeDtoY1KRsk3iPqEUA,http://www.youtube.com/channel/UCWOVqXeDtoY1KRsk3iPqEUA,0,,
UgwF7Js29U_AIAKOEn14AaABAg,0,0,"2021-01-06 22:16:34","tamala malabella",2021,UCEu7dlGjDDDgVMK8PkJYHOg,http://www.youtube.com/channel/UCEu7dlGjDDDgVMK8PkJYHOg,0,,
Ugzqn3akKrY6pv7dh7F4AaABAg,0,4,"2020-12-29 21:55:52",Piškotek,"Se dobimo ko bomo vsi čez 4 leta dobli to v prilubljeno ;)",UCU_b1hV6bD_N8_XKKa3KFkw,http://www.youtube.com/channel/UCU_b1hV6bD_N8_XKKa3KFkw,0,,
UgzkvL1gwUy9tNpuAwV4AaABAg,0,0,"2020-12-24 15:48:24",kvajeblostari,"Ja letos bo spet doma, ja kva so teli verniki sdsovski pametni ledje, nemorš vrjet, v butalah bo treba še kašno cerkev pozidat",UCCwig7xLghIXNlUHFMlNTvw,http://www.youtube.com/channel/UCCwig7xLghIXNlUHFMlNTvw,0,,
UgwUqsQesd2eQ06m6yd4AaABAg,0,6,"2020-12-23 22:48:32","Domen Gošte","Na hitro je povedala da so doma 🤣🤣",UC_Y8xa8VNSkAqzZMjae8XyA,http://www.youtube.com/channel/UC_Y8xa8VNSkAqzZMjae8XyA,0,,
UgyMH_KInuWeI6V4ziN4AaABAg,0,10,"2020-12-20 08:39:04","Jurij Ažman Momirski","tudi to leto bomo za polnoč doma. in za božič. bomo doma. uglavnem doma.",UCbkR-n3gQscnNCjrIWy5nRw,http://www.youtube.com/channel/UCbkR-n3gQscnNCjrIWy5nRw,0,,
UgwcDGJkK4aprutGgZJ4AaABAg,0,1,"2020-12-15 18:33:00","Number 9","Ta bozic bomo usi doma.",UCBAiJhCsy2FRd4vwbU9w4Vw,http://www.youtube.com/channel/UCBAiJhCsy2FRd4vwbU9w4Vw,0,,
Ugz0lnO0RHb4WoyE6lt4AaABAg,1,3,"2020-12-12 12:23:14",kvajeblostari,"To so sds volilci",UCCwig7xLghIXNlUHFMlNTvw,http://www.youtube.com/channel/UCCwig7xLghIXNlUHFMlNTvw,0,,
Ugz0lnO0RHb4WoyE6lt4AaABAg.9HA93uR48vH9JwP10VxcbV,,2,"2021-02-19 08:28:13","Ale Ben","Če pa ti nisi ignorant... to je bilo na srbsko pravoslavno badnje veče - božični večer. A ne vidiš zadaj srbsko pravoslavno cerkev v Ljubljani? Edino pravoslavno cerkev v Sloveniji. Če še tega ne prepoznaš potem res ne vem kje živiš in kaj sploh poznaš o naši državi. Cerkev ki je na eni najbolj pretočnih ljubljanskih cest in vsi vedo da je to edina srbska pravoslavna cerkev. Cerkev pred katero je velikokrat paradiral Zoran Janković in tudi marsikateri poslanci SD-ja in ostali levih strank. Sicer pa če bi imel kaj soli v glavi bi vedel da je to pravoslavno srbkinjo dajala močna trema. A ne vidiš kako se ji trese glas. Sicer pa itak ti ne prepoznaš ničesar, ker si očitno zelo omejen.",UC65EIcKjnJMxa88dn9KmEBA,http://www.youtube.com/channel/UC65EIcKjnJMxa88dn9KmEBA,1,Ugz0lnO0RHb4WoyE6lt4AaABAg,kvajeblostari
UgyPpHSuDZ5uVRRB5Kl4AaABAg,0,15,"2020-12-07 19:08:46","Rok Pogačnik","Letos bomo pa res vsi doma 😅",UCuvrQICRdF_Lhj7XlulNEQA,http://www.youtube.com/channel/UCuvrQICRdF_Lhj7XlulNEQA,0,,
Ugz_TLI5I0dJMmZdlwt4AaABAg,0,1,"2020-12-05 11:19:00","SC&DC Sports cars and diecast Channel","Pa smo spet do večinoma vsi doma....",UCWBIhECZZIBsW4_szRzFMxA,http://www.youtube.com/channel/UCWBIhECZZIBsW4_szRzFMxA,0,,
UgxWBhjQJifI9L8dr9x4AaABAg,0,0,"2020-12-01 19:25:54","Olivera Segota","Evoti i bozic da policiskom Uroma in maskom",UCl_tPq-jmUgHsI7jy_AZt9w,http://www.youtube.com/channel/UCl_tPq-jmUgHsI7jy_AZt9w,0,,
Ugw8oRcQPKUJCAPEBtd4AaABAg,0,3,"2020-11-30 13:59:49","Matej KOTAR","Ženska govori kod da je stara 3",UCaqc69HelSJf_3IA5E-FOIw,http://www.youtube.com/channel/UCaqc69HelSJf_3IA5E-FOIw,0,,
UgyTc-a2K8CRd32fW0d4AaABAg,1,128,"2020-11-28 17:42:43",ZiThief,"This video hits different in 2020",UCfSpCj0MGpPoQ5Z2vhtn1Lw,http://www.youtube.com/channel/UCfSpCj0MGpPoQ5Z2vhtn1Lw,0,,
UgyTc-a2K8CRd32fW0d4AaABAg.9GbfVfc4wjU9Wxcd6M4kAw,,0,"2022-01-08 22:43:15",Natasha,umiram,UCH3AaDLKQDA7s7SoVXyxeDQ,http://www.youtube.com/channel/UCH3AaDLKQDA7s7SoVXyxeDQ,1,UgyTc-a2K8CRd32fW0d4AaABAg,ZiThief
UgzM2ig3Y_4hE3l1Lzt4AaABAg,0,1,"2020-11-25 18:17:01","S. K.","Letos bomo vsi doma 😂😂😂😂",UCWFdc-o20m9wVHPKCk4vPSQ,http://www.youtube.com/channel/UCWFdc-o20m9wVHPKCk4vPSQ,0,,
UgxxJHjVQlKENxGCV9F4AaABAg,0,35,"2020-11-19 19:05:31","Mitja Jelšek","Ljubo doma, mi pa pri ljubotu😂😎",UCY1nH6tRJdeuLMWt_ZkMnKw,http://www.youtube.com/channel/UCY1nH6tRJdeuLMWt_ZkMnKw,0,,
UgxRonlQSJ75EcP2uwx4AaABAg,0,28,"2020-11-02 10:05:55","Roko Praznik","2020 top content 😎👌",UCfohoy2snw2Cz9rC37BOM-w,http://www.youtube.com/channel/UCfohoy2snw2Cz9rC37BOM-w,0,,
UgwrGQs7KgzkI7nXjYF4AaABAg,1,71,"2020-10-30 00:04:22","Luks kuks","Ta let bomo pa usi doma 🤣",UC7nikf5i-rfo-LPt_eMjcCg,http://www.youtube.com/channel/UC7nikf5i-rfo-LPt_eMjcCg,0,,
UgwrGQs7KgzkI7nXjYF4AaABAg.9FQ6KgH56pE9UivwQdaLc0,,1,"2021-11-14 12:40:31","Jaz Sem","Letos tudi. Še sploh kdo kaj praznuje?🙄🤔",UClTD2K5FE_NKbmj73K4QE0Q,http://www.youtube.com/channel/UClTD2K5FE_NKbmj73K4QE0Q,1,UgwrGQs7KgzkI7nXjYF4AaABAg,"Luks kuks"
UgyX6s6Cx8cmFKLarah4AaABAg,0,3,"2020-10-29 04:12:27",EpicEnej,"Letos tud",UCS7f4B9Z3AZ_u3PDEPGkmHw,http://www.youtube.com/channel/UCS7f4B9Z3AZ_u3PDEPGkmHw,0,,
Ugw2arUMxhPg1aRYpK94AaABAg,1,16,"2020-10-14 03:49:35","vasja prašnikar","ne vem zakaj sem dobil obcutek, da jih je vsaj 80 v bajti 🤔",UC-B1Xe2HZ5pKgTCgTPw26CA,http://www.youtube.com/channel/UC-B1Xe2HZ5pKgTCgTPw26CA,0,,
Ugw2arUMxhPg1aRYpK94AaABAg.9EmJOBLSN779FHkidrh_mV,,0,"2020-10-26 18:12:52","Nejc Drobnič",😂😂😂😂😂,UCrrFsn2g2xXrc1a5GS0umnw,http://www.youtube.com/channel/UCrrFsn2g2xXrc1a5GS0umnw,1,Ugw2arUMxhPg1aRYpK94AaABAg,"vasja prašnikar"
UgwYK2Zl4BvVQTV0U2V4AaABAg,0,3,"2020-10-02 22:32:26","Kiki Plays","Nevem amapk men se zdi da bojo za božič doma",UCnLk9Z0vho_5coAu3QcIQYw,http://www.youtube.com/channel/UCnLk9Z0vho_5coAu3QcIQYw,0,,
