id,ZzqIucbBdPA
published,"2011-11-23 17:35:32"
published_unix,1322069732
title,"Edi Pucer ""raztrga"" Zorana Jankoviča v živo na 24ur"
description,"Pozor, video je zmontiran in je namenjen samo za zabavo"
channelId,UCzgGvyuRUVD9q-NdOWBYNew
channelTitle,TurboMoz
duration,PT2M36S
dimension,2d
definition,sd
caption,false
allowedIn,
blockedIn,
licensedContent,
viewCount,566670
likeCount,1563
dislikeCount,
favoriteCount,0
commentCount,309
uploadStatus,processed
privacyStatus,public
license,youtube
embeddable,1
publicStatsViewable,1
