word	Valence	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
osupel	0	0	0	0	0	0	0	0	0	0	0
abak	0	0	0	0	0	0	0	0	0	0	1
opustiti	-1	0	1	0	0	0	1	0	1	0	0
zapustiti	-1	0	1	0	0	0	1	0	1	0	0
prekiniti	-1	0	1	0	0	0	1	0	1	0	0
prenehati	-1	0	1	0	0	0	1	0	1	0	0
opuščen	-1	0	1	1	0	0	1	0	1	0	0
zapuščen	-1	0	1	1	0	0	1	0	1	0	0
prekinjen	-1	0	1	1	0	0	1	0	1	0	0
zavržen	-1	0	1	1	0	0	1	0	1	0	0
opustitev	-1	0	1	1	0	0	1	0	1	1	0
zapustitev	-1	0	1	1	0	0	1	0	1	1	0
popustiti	0	0	0	0	0	0	0	0	0	0	0
popuščanje	0	0	0	0	0	0	0	0	0	0	0
Abba	1	1	0	0	0	0	0	0	0	0	0
opat	0	0	0	0	0	0	0	0	0	0	1
okrajšati	0	0	0	0	0	0	0	0	0	0	0
okrajšava	0	0	0	0	0	0	0	0	0	0	0
trebuh	0	0	0	0	0	0	0	0	0	0	0
trebušen	0	0	0	0	0	0	0	0	0	0	0
ugrabitev	-1	0	1	0	0	0	1	0	1	1	0
napačen	-1	0	1	0	0	0	0	0	0	0	0
aberacija	-1	0	1	0	0	1	0	0	0	0	0
odstopanje	-1	0	1	0	0	1	0	0	0	0	0
odlog	0	0	0	0	0	0	0	0	0	0	0
prezirati	-1	0	1	1	0	1	1	0	0	0	0
zoprn	-1	0	1	1	0	1	1	0	0	0	0
gnusen	-1	0	1	1	0	1	1	0	0	0	0
prenesti	0	0	0	0	0	0	0	0	0	0	0
sposobnost	1	1	0	0	0	0	0	0	0	0	0
zmožnost	1	1	0	0	0	0	0	0	0	0	0
beden	-1	0	1	0	0	1	0	0	0	0	0
obupen	-1	0	1	0	0	1	0	0	0	0	0
ponižen	-1	0	1	0	0	1	0	0	0	0	0
ablacija	0	0	0	0	0	0	0	0	0	0	0
odstranitev	0	0	0	0	0	0	0	0	0	0	0
goreti	0	0	0	0	0	0	0	0	0	0	0
nenormalen	-1	0	1	0	0	1	0	0	0	0	0
neobičajen	-1	0	1	0	0	1	0	0	0	0	0
nenavaden	-1	0	1	0	0	1	0	0	0	0	0
na krovu	0	0	0	0	0	0	0	0	0	0	0
prebivališče	0	0	0	0	0	0	0	0	0	0	0
dom	0	0	0	0	0	0	0	0	0	0	0
ukiniti	-1	0	1	1	0	0	0	0	0	0	0
odpraviti	-1	0	1	1	0	0	0	0	0	0	0
razveljaviti	-1	0	1	1	0	0	0	0	0	0	0
ukinitev	-1	0	1	0	0	0	0	0	0	0	0
razveljavitev	-1	0	1	0	0	0	0	0	0	0	0
gnusen	-1	0	1	0	0	1	1	0	0	0	0
odvraten	-1	0	1	0	0	1	1	0	0	0	0
grozen	-1	0	1	0	0	1	1	0	0	0	0
gnusoba	-1	0	1	1	0	1	1	0	0	0	0
ogabnost	-1	0	1	1	0	1	1	0	0	0	0
gamad	-1	0	1	1	0	1	1	0	0	0	0
golazen	-1	0	1	1	0	1	1	0	0	0	0
gamat	-1	0	1	1	0	1	1	0	0	0	0
aboridžinski	0	0	0	0	0	0	0	0	0	0	0
staroselski	0	0	0	0	0	0	0	0	0	0	0
prekiniti	-1	0	1	0	0	0	0	0	0	0	0
splaviti	-1	0	1	0	0	0	0	0	0	0	0
splav	-1	0	1	0	0	1	1	0	1	0	0
izrodek	-1	0	1	0	0	1	1	0	1	0	0
neuspešen	-1	0	1	0	0	0	0	0	1	0	0
spodletel	-1	0	1	0	0	0	0	0	1	0	0
ponesrečen	-1	0	1	0	0	0	0	0	1	0	0
obilen	0	0	0	0	0	0	0	0	0	0	0
zgoraj omenjen	1	1	0	0	0	0	0	0	0	0	0
odrgnina	-1	0	1	0	0	0	0	0	0	0	0
praska	-1	0	1	0	0	0	0	0	0	0	0
v tujini	0	0	0	0	0	0	0	0	0	0	0
odpraviti	-1	0	1	0	0	0	0	0	0	0	0
razveljaviti	-1	0	1	0	0	0	0	0	0	0	0
ukiniti	-1	0	1	0	0	0	0	0	0	0	0
opustiti	-1	0	1	0	0	0	0	0	0	0	0
nenaden	0	0	0	0	0	0	0	0	0	1	0
nenadno	0	0	0	0	0	0	0	0	0	0	0
absces	-1	0	1	0	0	0	0	0	1	0	0
ognojek	-1	0	1	0	0	0	0	0	1	0	0
odsotnost	-1	0	1	0	0	0	1	0	1	0	0
pomanjkanje	-1	0	1	0	0	0	1	0	1	0	0
odsoten	-1	0	1	0	0	0	0	0	1	0	0
zamišljen	-1	0	1	0	0	0	0	0	1	0	0
manjkajoč	-1	0	1	0	0	0	0	0	1	0	0
izostajanje	-1	0	1	0	0	0	0	0	0	0	0
absint	0	0	0	0	0	0	0	0	0	0	0
absoluten	1	1	0	0	0	0	0	0	0	0	0
popoln	1	1	0	0	0	0	0	0	0	0	0
odveza	1	1	0	0	0	0	0	1	0	0	1
odrešenje	1	1	0	0	0	0	0	1	0	0	1
absorbiran	1	1	0	0	0	0	0	0	0	0	0
absorptiven	0	0	0	0	0	0	0	0	0	0	0
vpojen	0	0	0	0	0	0	0	0	0	0	0
privlačen	0	0	0	0	0	0	0	0	0	0	0
zanimiv	0	0	0	0	0	0	0	0	0	0	0
vpijanje	0	0	0	0	0	0	0	0	0	0	0
absorpcija	0	0	0	0	0	0	0	0	0	0	0
vzdržati	0	0	0	0	0	0	0	0	0	0	0
odpovedati se	0	0	0	0	0	0	0	0	0	0	0
vzdržanost	0	0	0	0	0	0	0	0	0	0	0
abstinenca	0	0	0	0	0	0	0	0	0	0	0
abstrakten	0	0	0	0	0	0	0	0	0	0	0
abstrakcija	0	0	0	0	0	0	0	0	0	0	0
absurden	-1	0	1	0	0	0	0	0	0	0	0
nesmiseln	-1	0	1	0	0	0	0	0	0	0	0
absurd	-1	0	1	0	0	0	0	0	0	0	0
nesmisel	-1	0	1	0	0	0	0	0	0	0	0
obilje	0	1	1	0	1	1	0	1	0	0	1
obilica	0	1	1	0	1	1	0	1	0	0	1
obilen	1	1	0	0	0	0	0	1	0	0	0
bogat	1	1	0	0	0	0	0	1	0	0	0
zloraba	-1	0	1	1	0	1	1	0	1	0	0
mučenje	-1	0	1	1	0	1	1	0	1	0	0
izkoriščati	-1	0	1	1	0	1	1	0	1	0	0
zlorabiti	-1	0	1	1	0	1	1	0	1	0	0
kršiti	-1	0	1	1	0	1	1	0	1	0	0
opornica	0	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0	0
grozen	-1	0	1	0	0	0	0	0	1	0	0
obupen	-1	0	1	0	0	0	0	0	1	0	0
brezno	-1	0	1	0	0	0	1	0	1	0	0
akademski	1	1	0	0	0	0	0	0	0	0	1
akademija	1	1	0	0	0	0	0	0	0	0	0
pristopiti	0	0	0	0	0	0	0	0	0	0	0
pospešiti	0	0	0	0	1	0	0	0	0	0	0
pospešek	0	0	0	0	0	0	0	0	0	0	0
naglas	0	0	0	0	0	0	0	0	0	0	0
poudariti	0	0	0	0	0	0	0	0	0	0	0
sprejeti	0	0	0	0	0	0	0	0	0	0	0
sprejemljiv	1	1	0	0	0	0	0	0	0	0	0
sprejem	1	1	0	0	0	0	0	0	0	0	0
prepričanje	1	1	0	0	0	0	0	0	0	0	0
privolitev	1	1	0	0	0	0	0	0	0	0	0
prenašanje	1	1	0	0	0	0	0	0	0	0	0
dostop	0	0	0	0	0	0	0	0	0	0	0
dostopiti	0	0	0	0	0	0	0	0	0	0	0
dostopen	1	1	0	0	0	0	0	0	0	0	0
nastop	0	0	0	0	0	0	0	0	0	0	0
dodatek	0	0	0	0	0	0	0	0	0	0	0
nesreča	-1	0	1	0	0	0	1	0	1	1	0
naključje	-1	0	1	0	0	0	1	0	1	1	0
naključen	-1	0	1	0	0	0	1	0	0	1	0
nezgoden	-1	0	1	0	0	0	1	0	0	1	0
naključno	0	0	0	0	0	0	0	0	0	1	0
priznanje	1	1	0	0	1	0	0	1	0	1	1
čast	1	1	0	0	1	0	0	1	0	1	1
nastaniti	0	0	0	0	0	0	0	0	0	0	0
nastanitev	1	1	0	0	0	0	0	0	0	0	0
spremljava	1	1	0	0	1	0	0	1	0	0	1
spremljati	0	0	0	0	0	0	0	0	0	0	0
spremljevalen	0	0	0	0	0	0	0	0	0	0	0
sokrivec	0	0	0	0	0	0	0	0	0	0	0
dokončati	1	1	0	0	0	0	0	1	0	0	0
doseči	1	1	0	0	0	0	0	1	0	0	0
opraviti	1	1	0	0	0	0	0	1	0	0	0
izpolnjen	1	1	0	0	0	0	0	1	0	0	0
dosežen	1	1	0	0	0	0	0	1	0	0	0
uresničitev	1	1	0	0	0	0	0	0	0	0	0
dosežek	1	1	0	0	0	0	0	0	0	0	0
sporazum	1	1	0	0	0	0	0	0	0	0	1
dogovor	1	1	0	0	0	0	0	0	0	0	1
skladno	0	0	0	0	0	0	0	0	0	0	0
harmonika	0	0	0	0	0	0	0	0	0	0	0
račun	0	0	0	0	0	0	0	0	0	0	1
odgovornost	1	1	0	0	0	0	0	0	0	0	1
odgovoren	1	1	0	0	0	0	0	0	0	0	1
računovodja	0	0	0	0	0	0	0	0	0	0	1
računovodstvo	0	0	0	0	0	0	0	0	0	0	0
račun	0	0	0	0	0	0	0	0	0	0	1
akreditiran	1	1	0	0	0	0	0	0	0	0	1
povečanje	0	0	0	0	0	0	0	0	0	0	0
nabrati	0	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	1	0	0	0	0	0	0	0	0	0
kopičiti	0	0	0	0	0	0	0	0	0	0	0
kopičenje	0	0	0	0	0	0	0	0	0	0	0
natančnost	0	0	0	0	0	0	0	0	0	0	0
natančen	1	1	0	0	0	0	0	0	0	0	1
preklet	-1	0	1	1	0	0	1	0	1	0	0
obtožba	-1	0	1	1	0	1	0	0	0	0	0
obdolžitev	-1	0	1	1	0	1	0	0	0	0	0
očitek	-1	0	1	1	0	1	0	0	0	0	0
tožilnik	-1	0	1	0	0	0	0	0	0	0	0
akuzativ	-1	0	1	0	0	0	0	0	0	0	0
obtoženec	-1	0	1	1	0	0	1	0	0	0	0
obtoževalec	-1	0	1	1	0	0	1	0	0	0	0
obtožiti	-1	0	1	1	0	0	1	0	0	0	0
obdolžiti	-1	0	1	1	0	0	1	0	0	0	0
navajen	0	0	0	0	0	0	0	0	0	0	0
as	1	1	0	0	0	0	0	0	0	0	0
oceten	0	0	0	0	0	0	0	0	0	0	0
bolečina	-1	0	1	0	0	0	0	0	1	0	0
doseči	1	1	0	0	0	0	0	1	0	0	1
dosežek	1	1	0	0	1	0	0	1	0	0	1
boleti	-1	0	1	0	0	0	0	0	1	0	0
boleč	-1	0	1	0	0	0	0	0	1	0	0
kislina	-1	0	1	0	0	0	0	0	0	0	0
kisel	-1	0	1	0	0	0	0	0	0	0	0
kislost	0	0	0	0	0	0	0	0	0	0	0
priznati	0	0	0	0	0	0	0	0	0	0	0
priznan	0	0	0	0	0	0	0	0	0	0	0
priznanje	1	1	0	0	0	0	0	0	0	0	0
potrdilo	1	1	0	0	0	0	0	0	0	0	0
vrhunec	0	0	0	0	0	0	0	0	0	0	0
akustičen	0	0	0	0	0	0	0	0	0	0	0
akustika	0	0	0	0	0	0	0	0	0	0	0
