author_id	forename	surname	gender	birth	nationality	
AvanzoMiha	Miha	Avanzo	moški	1949	Slovenija
BagolaBožidar	Božidar	Bagola	moški	1947	Slovenija
BalohPeter	Peter	Baloh	moški		Slovenija
BenedetičFilibert	Filibert	Benedetič	moški	1935	Slovenija
BožičPeter	Peter	Božič	moški	1932	Slovenija
BožičZoran	Zoran	Božič	moški	1951	Slovenija
BreceljBarbara	Barbara	Brecelj	ženski	1941	Slovenija
BrejcTomaž	Tomaž	Brejc	moški	1946	Slovenija
BreščakPeter	Peter	Breščak	moški	1939	Slovenija
BrvarAndrej	Andrej	Brvar	moški	1945	Slovenija
ButtoloFrančiška	Frančiška	Buttolo	ženski	1943	Slovenija
CankarIvan	Ivan	Cankar	moški	1876	Slovenija
CapuderAndrej	Andrej	Capuder	moški	1942	Slovenija
CeglarRobert	Robert	Ceglar	moški		Slovenija
CigaleMarija	Marija	Cigale	ženski		Slovenija
CimermanIvan	Ivan	Cimerman	moški	1938	Slovenija
CimermanOlga	Olga	Cimerman	ženski		Slovenija
CundričValentin	Valentin	Cundrič	moški	1938	Slovenija
DaboRadoslav	Radoslav	Dabo	moški	1936	Slovenija
DebičDane	Dane	Debič	moški	1927	Slovenija
DeklevaMilan	Milan	Dekleva	moški	1946	Slovenija
DetelaJure	Jure	Detela	moški	1951	Slovenija
DetelaLev	Lev	Detela	moški	1939	Slovenija
DolencMate	Mate	Dolenc	moški	1945	Slovenija
DraganNuša	Nuša	Dragan	ženski	1943	Slovenija
DraganSrečo	Srečo	Dragan	moški	1944	Slovenija
DušaZdravko	Zdravko	Duša	moški	1950	Slovenija
ErjavecAleš	Aleš	Erjavec	moški	1951	Slovenija
FilipičFrance	France	Filipič	moški	1919	Slovenija
FilipčičEmil	Emil	Filipčič	moški	1951	Slovenija
FritzErvin	Ervin	Fritz	moški	1940	Slovenija
GaborovičNada	Nada	Gaborovič	ženski	1924	Slovenija
GajšekVladimir	Vladimir	Gajšek	moški	1946	Slovenija
GeisterIztok	Iztok	Geister	moški	1945	Slovenija
GodinaKarpo	Karpo	Godina	moški	1943	Slovenija
GoršičNiko	Niko	Goršič	moški	1943	Slovenija
GradišnikBranko	Branko	Gradišnik	moški	1951	Slovenija
GrafenauerNiko	Niko	Grafenauer	moški	1940	Slovenija
HanžekMatjaž	Matjaž	Hanžek	moški	1949	Slovenija
HanžekPolona	Polona	Hanžek	ženski	1951	Slovenija
HermanBogdana	Bogdana	Herman	ženski	1948	Slovenija
HiengAndrej	Andrej	Hieng	moški	1925	Slovenija
HofmanBranko	Branko	Hofman	moški	1929	Slovenija
HvalicaDoro	Doro	Hvalica	moški	1940	Slovenija
InkretAndrej	Andrej	Inkret	moški	1943	Slovenija
IucundusBard	Bard	Iucundus	moški	1949	Slovenija
JanuschGustav	Gustav	Janusch	moški	1939	Slovenija
JančarDrago	Drago	Jančar	moški	1948	Slovenija
JermanVladimir	Vladimir	Jerman	moški		Slovenija
JesihMilan	Milan	Jesih	moški	1950	Slovenija
JovanovićDušan	Dušan	Jovanović	moški	1939	Slovenija
KalanLudovika	Ludovika	Kalan	ženski	1900	Slovenija
KalčičUroš	Uroš	Kalčič	moški	1951	Slovenija
KamenikIgnac	Ignac	Kamenik	moški	1926	Slovenija
KastelicNataša	Nataša	Kastelic	ženski	1947	Slovenija
KavčičVladimir	Vladimir	Kavčič	moški	1932	Slovenija
KlečMilan	Milan	Kleč	moški	1954	Slovenija
KmeclMatjaž	Matjaž	Kmecl	moški	1934	Slovenija
KnapMajda	Majda	Knap	ženski	1947	Slovenija
KneMajda	Majda	Kne	ženski	1954	Slovenija
KocbekEdvard	Edvard	Kocbek	moški	1904	Slovenija
