n	id	author_disp	title_disp	author_refs	title	subtitle	suptitle1	suptitle2	byline	editor	date_from	date_to	date_display	place	monograph	volnum	pages	text_type	modernism	visual	lang_type	nstd_level	foreign_lang	foreign_level	note	
1	maj68-0001	Miško Kranjec (1908)	Prókleti pês (1964) [maj68]	#KranjecMiško	Prókleti pês						1964-01		januar 1964	Ljubljana	Problemi	II/13	1–8	proza	odsotna	odsotna	dialekt	nizka		odsotna	
2	maj68-0004	Leopold Suhodolčan (1928)	Slovenska plošča (1964) [maj68]	#SuhodolčanLeopold	Slovenska plošča						1964-01		januar 1964	Ljubljana	Problemi	II/13	29–56	proza	odsotna	odsotna	splošni pogovorni jezik	nizka		odsotna	Poglavje iz romana.
3	maj68-0005	Žarko Petan (1929)	Smrt (1964) [maj68]	#PetanŽarko	Smrt						1964-01		januar 1964	Ljubljana	Problemi	II/13	80–83	proza	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
4	maj68-0006	Ervin Fritz (1940)	Pesem (1964) [maj68]	#FritzErvin	Pesem						1964-01		januar 1964	Ljubljana	Problemi	II/13	83–84	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
5	maj68-0007	Ervin Fritz (1940)	Sonet (1964) [maj68]	#FritzErvin	Sonet						1964-01		januar 1964	Ljubljana	Problemi	II/13	84	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
6	maj68-0008	Jože Olaj (1939)	Svetlo zelena pesem (1964) [maj68]	#OlajJože	Svetlo zelena pesem						1964-01		januar 1964	Ljubljana	Problemi	II/13	84	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
7	maj68-0009	Jože Olaj (1939)	Marec (1964) [maj68]	#OlajJože	Marec						1964-01		januar 1964	Ljubljana	Problemi	II/13	85	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
8	maj68-0010	Jože Olaj (1939)	Spoznanje (1964) [maj68]	#OlajJože	Spoznanje						1964-01		januar 1964	Ljubljana	Problemi	II/13	85	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
9	maj68-0011	Jože Olaj (1939)	Pričakovanje: 1 (1964) [maj68]	#OlajJože	1		Pričakovanje				1964-01		januar 1964	Ljubljana	Problemi	II/13	86	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
10	maj68-0012	Jože Olaj (1939)	Pričakovanje: 2 (1964) [maj68]	#OlajJože	2		Pričakovanje				1964-01		januar 1964	Ljubljana	Problemi	II/13	86	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
11	maj68-0013	Jože Olaj (1939)	II. jesen (1964) [maj68]	#OlajJože	II. jesen						1964-01		januar 1964	Ljubljana	Problemi	II/13	87	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
12	maj68-0014	Ludovika Kalan (1900)	Luščina bledega zlata (1964) [maj68]	#KalanLudovika	Luščina bledega zlata						1964-01		januar 1964	Ljubljana	Problemi	II/13	88	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
13	maj68-0015	Ludovika Kalan (1900)	Moj čudni brat (1964) [maj68]	#KalanLudovika	Moj čudni brat						1964-01		januar 1964	Ljubljana	Problemi	II/13	88	poezija	nizka	nizka	knjižni jezik	odsotna		odsotna	
14	maj68-0016	Vita Varl	Samota (1964) [maj68]	#VarlVita	Samota						1964-01		januar 1964	Ljubljana	Problemi	II/13	89–97	proza	nizka	odsotna	splošni pogovorni jezik	nizka		odsotna	
15	maj68-0017	Ignac Kamenik (1926)	Poslednje srečanje (1964) [maj68]	#KamenikIgnac	Poslednje srečanje						1964-01		januar 1964	Ljubljana	Problemi	II/13	97–104	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	Del teksta pisan v kurzivi, vendar je vsebinsko podprto. Ni upoštevano kot vizualno.
16	maj68-0018	[Neznani avtor]	Čarobna kreda / Risanka (1964) [maj68]		Čarobna kreda	Risanka			S.		1964-01		januar 1964	Ljubljana	Problemi	II/13	112–119	proza	visoka	visoka	knjižni jezik	odsotna		odsotna	Proza in vizualna poezija v zvezi s Perspektivami.
17	maj68-0021	Žarko Petan (1929)	Prepovedane parole (1964) [maj68]	#PetanŽarko	Prepovedane parole						1964-01		januar 1964	Ljubljana	Problemi	II/13	128	proza	odsotna	odsotna	knjižni jezik	odsotna		odsotna	Aforizmi.
18	maj68-0022	Vladimir Kavčič (1932)	Korak navzgor (1964) [maj68]	#KavčičVladimir	Korak navzgor						1964-02		februar 1964	Ljubljana	Problemi	II/14	129–157	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	Delo se nadaljuje skozi celoten letnik – zaključek v številki 23. Modernističnost se dogaja predvsem na vsebinski oz. pomenski ravni (dehumanizacija posameznika znotraj Ustanove, kafkovska grotesknost opisovanega sveta, tudi nadrealističnost – fantazijski, alogični svet, kjer se prostori in subjekti fluidno spreminjajo, prostor-čas sta izven stvarne logike).
19	maj68-0023	Bojan Pisk (1933)	Pesmi: 1 (1964) [maj68]	#PiskBojan	1		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	158–162	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
20	maj68-1422	Bojan Pisk (1933)	Pesmi: 2 (1964) [maj68]	#PiskBojan	2		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	158–162	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
21	maj68-1423	Bojan Pisk (1933)	Pesmi: 3 (1964) [maj68]	#PiskBojan	3		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	158–162	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
22	maj68-1424	Bojan Pisk (1933)	Pesmi: 4 (1964) [maj68]	#PiskBojan	4		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	158–162	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
23	maj68-1425	Bojan Pisk (1933)	Pesmi: 5 (1964) [maj68]	#PiskBojan	5		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	158–162	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
24	maj68-1426	Bojan Pisk (1933)	Pesmi: 6 (1964) [maj68]	#PiskBojan	6		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	158–162	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
25	maj68-1427	Bojan Pisk (1933)	Pesmi: 7 (1964) [maj68]	#PiskBojan	7		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	158–162	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
26	maj68-0024	Bojan Pisk (1933)	Pesmi: 1 (1964) [maj68]	#PiskBojan	1		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	162–164	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
27	maj68-1428	Bojan Pisk (1933)	Pesmi: 2 (1964) [maj68]	#PiskBojan	2		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	162–164	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
28	maj68-1429	Bojan Pisk (1933)	Pesmi: 3 (1964) [maj68]	#PiskBojan	3		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	162–164	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
29	maj68-1430	Bojan Pisk (1933)	Pesmi: 4 (1964) [maj68]	#PiskBojan	4		Pesmi				1964-02		februar 1964	Ljubljana	Problemi	II/14	162–164	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
30	maj68-0025	France Filipič (1919)	Ob usodni uri (1964) [maj68]	#FilipičFrance	Ob usodni uri						1964-02		februar 1964	Ljubljana	Problemi	II/14	191	poezija	nizka	nizka	knjižni jezik	odsotna		odsotna	
31	maj68-0026	France Filipič (1919)	Sanje v ujetništvu (1964) [maj68]	#FilipičFrance	Sanje v ujetništvu						1964-02		februar 1964	Ljubljana	Problemi	II/14	192	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
32	maj68-0027	France Filipič (1919)	Otožni pes (1964) [maj68]	#FilipičFrance	Otožni pes						1964-02		februar 1964	Ljubljana	Problemi	II/14	193	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
33	maj68-0028	France Filipič (1919)	Srečanje z grmom (1964) [maj68]	#FilipičFrance	Srečanje z grmom						1964-02		februar 1964	Ljubljana	Problemi	II/14	194	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
34	maj68-0029	France Filipič (1919)	Namišljena veličina (1964) [maj68]	#FilipičFrance	Namišljena veličina						1964-02		februar 1964	Ljubljana	Problemi	II/14	194–195	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
35	maj68-0030	France Filipič (1919)	Moja revolucija (1964) [maj68]	#FilipičFrance	Moja revolucija						1964-02		februar 1964	Ljubljana	Problemi	II/14	195–196	poezija	nizka	nizka	knjižni jezik	odsotna		odsotna	
36	maj68-0031	Marija Cigale	Pogovor v prazni sobi (1964) [maj68]	#CigaleMarija	Pogovor v prazni sobi						1964-02		februar 1964	Ljubljana	Problemi	II/14	196–206	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	
37	maj68-0032	Vita Varl	Svet, ki v njem živim: Živi avtomat (1964) [maj68]	#VarlVita	Živi avtomat		Svet, ki v njem živim				1964-02		februar 1964	Ljubljana	Problemi	II/14	211–212	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	
38	maj68-0033	Vita Varl	Svet, ki v njem živim: Usta (1964) [maj68]	#VarlVita	Usta		Svet, ki v njem živim				1964-02		februar 1964	Ljubljana	Problemi	II/14	212–213	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	
